Point ID,area,continuity,lambda_continuity,lambda_momentum_x,lambda_momentum_y,momentum_x,momentum_y,p,p__x,p__y,Points_0,Points_1,Points_2,Points_Magnitude,pred_continuity,pred_momentum_x,pred_momentum_y,sdf,sdf__x,sdf__y,true_continuity,true_momentum_x,true_momentum_y,u,u__x,u__x__x,u__x__y,u__y,u__y__y,v,v__x,v__x__x,v__x__y,v__y,v__y__x,v__y__y
2435,2.5e-06,0.0359325,0.0319632,0.0319632,0.0319632,0.0532174,-0.12803,-0.562108,-0.401848,-1.0661,0.00827239,0.0180368,0,0.0198434,0.0359325,0.0532174,-0.12803,0.0319632,0,-1,0,0,0,-0.144477,-1.9899,-83.7133,188.073,6.23029,1024.35,0.0525663,-5.12934,-285.778,95.84,2.02584,95.8399,-191.809
2436,2.5e-06,-0.0300171,0.0312374,0.0312374,0.0312374,0.150261,0.0923354,-0.543847,0.127193,-0.278938,0.0187626,-0.00189688,0,0.0188582,-0.0300171,0.150261,0.0923354,0.0312374,-1,0,0,0,0,-0.109897,1.33006,247.06,-12.8875,-6.43146,-111.193,-0.0227899,-3.08575,84.8381,-260.106,-1.36008,-260.106,19.3485
2437,2.5e-06,-5.6982e-05,0.00649519,0.00649519,0.00649519,-0.906768,-0.212184,-0.567426,-0.66279,0.283777,0.00530567,0.0435048,0,0.0438271,-5.6982e-05,-0.906768,-0.212184,0.00649519,0,-1,0,0,0,0.335827,3.12619,-195.546,-123.241,53.1415,10631.3,0.031075,-0.40781,10.4729,202.848,-3.12624,202.849,118.469
2438,2.5e-06,-0.549695,0.00321264,0.00321264,0.00321264,-1.16934,-0.468019,-0.560636,-0.746436,0.121347,-0.00313785,0.0467874,0,0.0468925,-0.549695,-1.16934,-0.468019,0.00321264,0,-1,0,0,0,0.571339,3.77891,-198.192,-546.211,124.605,41080.5,0.0197642,0.139354,8.29926,186.936,-4.32861,186.936,404.054
2439,2.5e-06,0.0141563,0.0193031,0.0193031,0.0193031,0.0453811,-0.0573541,-0.557905,-0.39746,-0.0551605,-0.0117553,0.0306969,0,0.0328707,0.0141563,0.0453811,-0.0573541,0.0193031,0,-1,0,0,0,-0.0435294,2.93717,4.19297,401.495,10.6059,1017.6,0.108026,-2.18174,3.37528,-1.8821,-2.92301,-1.88195,-402.433
2440,2.5e-06,-2.04214,0.00116834,0.00116834,0.00116834,-1.68414,-0.709121,-0.559741,-0.819094,-0.721366,-0.0049141,0.0488317,0,0.0490783,-2.04214,-1.68414,-0.709121,0.00116834,0,-1,0,0,0,0.961558,2.20203,-151.361,-1505.5,307.185,182657,0.0109419,0.462095,-4.70453,112.157,-4.24418,112.157,-1160.65
2441,2.5e-06,-0.0149226,0.0154758,0.0154758,0.0154758,-0.103447,-0.0221854,-0.556355,-0.233055,-0.0209282,-0.0168655,0.0345242,0,0.0384235,-0.0149226,-0.103447,-0.0221854,0.0154758,0,-1,0,0,0,-0.017504,4.64978,-7.78939,505.495,13.3901,1725.42,0.105121,-2.3561,70.6713,9.71152,-4.6647,9.71138,-504.322
2442,2.5e-06,0.896684,0.00239166,0.00239166,0.00239166,-0.043132,0.216218,-0.542422,-0.0138303,0.0643698,0.0476083,-0.0277007,0,0.0550807,0.896684,-0.043132,0.216218,0.00239166,-1,0,0,0,0,-0.00365365,0.719127,278.107,0.978096,0.00551496,1.20077,0.00816588,-3.06389,-1370.02,-88.3996,0.177557,-88.3996,-17.0198
2443,2.5e-06,0.00545359,0.028552,0.028552,0.028552,0.136705,0.0971626,-0.546176,0.283387,-0.66856,0.021448,0.00434279,0,0.0218832,0.00545359,0.136705,0.0971626,0.028552,-1,0,0,0,0,-0.146733,1.85555,348.314,-86.702,-6.51306,158.946,-0.0433535,-4.7754,105.769,-366.955,-1.8501,-366.955,106.615
2444,2.5e-06,0.154082,0.0180367,0.0180367,0.0180367,0.0274633,0.00759692,-0.544316,0.0233477,0.00627954,-0.0147257,-0.0319633,0,0.0351924,0.154082,0.0274633,0.00759692,0.0180367,0,1,0,0,0,-0.00344446,-0.353863,6.36652,-33.6461,-0.518362,-51.4687,0.00756941,-0.10874,-16.7019,-6.12174,0.507944,-6.12172,28.5914
2445,2.5e-06,0.128821,0.0228827,0.0228827,0.0228827,0.0351504,0.0142797,-0.544268,0.0282605,0.0113123,-0.0145793,-0.0271173,0,0.030788,0.128821,0.0351504,0.0142797,0.0228827,0,1,0,0,0,-0.0067208,-0.549083,7.10355,-48.027,-0.824594,-72.942,0.0103969,-0.142516,-24.3606,-6.59652,0.677904,-6.59649,42.7185
2446,2.5e-06,0.0864445,0.0318851,0.0318851,0.0318851,0.0692396,0.0202422,-0.54403,0.0491062,0.0044852,-0.0110576,-0.0181149,0,0.0212231,0.0864445,0.0692396,0.0202422,0.0318851,0,1,0,0,0,-0.0215998,-1.09582,19.0174,-84.7699,-1.96038,-126.42,0.0176988,-0.368766,-46.1694,-19.2512,1.18227,-19.2511,80.8745
2447,2.5e-06,0.0930151,0.0183752,0.0183752,0.0183752,0.0619518,0.0740656,-0.542892,0.04874,0.0664925,0.0316248,-0.0200291,0,0.0374339,0.0930151,0.0619518,0.0740656,0.0183752,-1,0,0,0,0,-0.0132136,0.885962,-34.9813,111.415,-1.38749,-129.183,0.00370296,0.744316,22.8453,45.849,-0.792947,45.8489,-124.94
2448,2.5e-06,0.20045,0.00669857,0.00669857,0.00669857,0.0297309,-0.0105549,-0.544153,0.0283664,-0.010069,-0.00907326,-0.0433014,0,0.0442418,0.20045,0.0297309,-0.0105549,0.00669857,0,1,0,0,0,-0.000488468,-0.0679987,7.16602,-11.6671,-0.22823,-22.2065,0.00282549,-0.0699849,-2.79583,-7.96545,0.268449,-7.96544,7.85266
2449,2.5e-06,0.462788,0.00447212,0.00447212,0.00447212,0.0823564,0.111918,-0.542263,0.0853732,-0.0123966,0.0455279,-0.0167099,0,0.0484975,0.462788,0.0823564,0.111918,0.00447212,-1,0,0,0,0,-0.00524866,0.650752,1.66419,59.7895,-0.133368,-20.3605,0.0127776,-0.373281,-1136.16,94.7809,-0.187964,94.7805,-65.1269
2450,2.5e-06,0.135375,0.009357,0.009357,0.009357,-0.0413927,0.218369,-0.541787,-0.29287,0.075208,0.040643,-0.00184536,0,0.0406849,0.135375,-0.0413927,0.218369,0.009357,-1,0,0,0,0,-0.0278997,4.17934,-141.476,348.328,-2.16182,-153.386,-0.0214633,3.18036,242.222,231.891,-4.04397,231.891,-352.503
2451,2.5e-06,0.0435218,0.0379767,0.0379767,0.0379767,0.102887,0.0225865,-0.544257,0.0710105,-0.30642,0.0120233,-0.00265575,0,0.0123132,0.0435218,0.102887,0.0225865,0.0379767,-1,0,0,0,0,-0.108939,-0.149769,207.856,-75.7464,-6.07049,-56.4249,-0.00115897,-3.10882,-12.4683,-214.228,0.193291,-214.228,84.9397
