sdf,area,u,v,p,c,c__y,c__x,c__y__y,c__x__x,advection_diffusion_c,true_advection_diffusion_c,pred_advection_diffusion_c,lambda_advection_diffusion_c,Points:0,Points:1,Points:2,Point ID
41.9303,11.8777,-83.9421,29.0746,6.65019,133.7,0.694192,-1.41764,0.0128804,0.0106511,139.183,0,139.183,1,-64.7412,59.6614,0,135
36.1435,11.8777,-27.1964,11.5107,1.45024,59.3846,1.10264,-0.031669,0.000183877,0.0552238,13.5533,0,13.5533,1,3.12581,54.0081,0,136
7.47413,11.8777,-102.866,76.498,4.61426,243.31,-0.838121,-1.12606,0.00617196,0.00937435,51.7189,0,51.7189,1,-112.24,-139.217,0,137
76.2836,11.8777,-72.8405,73.8165,18.0381,108.055,0.0608721,0.768571,0.00526999,0.000264225,-51.4898,0,-51.4898,1,143.769,-38.0911,0,138
17.5445,11.8777,-45.9304,45.7426,7.20304,75.455,-0.742469,0.388753,-0.00571094,-0.00274605,-51.818,0,-51.818,1,82.0212,-58.9094,0,139
27.8232,11.8777,-132.207,60.0712,7.22315,225.753,0.361637,-1.65479,0.00652149,0.00184971,240.5,0,240.5,1,-122.254,63.2371,0,140
7.40463,11.8777,-73.1574,71.2673,12.5126,142.033,-0.994776,0.00265314,-0.000746623,-0.00316924,-71.0892,0,-71.0892,1,72.0054,-142.595,0,141
8.48551,11.8777,-128.534,86.5969,12.9144,274.528,-0.114924,-1.6989,0.00155112,0.000247491,208.415,0,208.415,1,-157.835,-53.6268,0,142
36.2051,11.8777,-45.215,46.8402,11.1366,68.243,0.161949,0.793814,0.022451,0.000840567,-28.3066,0,-28.3066,1,90.0193,-18.2372,0,143
24.4263,11.8777,-65.5488,63.5481,11.3068,125.259,-0.934649,0.115434,0.0115253,0.0401221,-66.9618,0,-66.9618,1,68.1975,-125.574,0,144
45.4205,11.8777,-173.278,75.3953,10.2192,291.132,0.413922,-1.62706,0.00442318,0.00142813,313.141,0,313.141,1,-156.353,87.5222,0,145
