sdf,sdf__x,sdf__y,area,u,v,p,u__y,u__x,v__y,v__x,p__y,p__x,continuity,u__y__y,u__x__y,u__x__x,v__y__y,v__y__x,v__x__x,momentum_y,momentum_x,true_continuity,true_momentum_x,true_momentum_y,pred_continuity,pred_momentum_y,pred_momentum_x,lambda_continuity,lambda_momentum_x,lambda_momentum_y,Points:0,Points:1,Points:2,Point ID
93.9372,0,1,44.6387,0.146521,0.0965889,0.126758,-0.00218986,0.00226136,0.00291491,0.00135661,-0.00138986,-0.0014145,0.00517627,-1.20284e-05,-2.46741e-05,-4.13878e-05,-0.000112497,-5.53298e-05,-2.36312e-05,-0.000606216,-0.00117341,0,0,0,0.00517627,-0.000606216,-0.00117341,93.9372,93.9372,93.9372,139.288,-67.1064,0,41
155.959,0,-1,44.6387,0.139882,0.0161507,0.173812,-0.00265381,0.00410267,-0.00408013,-0.000100744,-0.00161392,-0.000634918,2.25417e-05,-0.000580023,5.64662e-05,-2.50192e-05,-0.000220086,2.3332e-05,3.14923e-06,-0.000586903,0.00137107,0,0,0,2.25417e-05,-0.000586903,0.00137107,155.959,155.959,155.959,135.415,3.39199,0,42
10.2189,-0,1,44.6387,-0.131389,0.0437481,0.0600424,0.00619099,0.00535953,0.000298053,-0.00349229,0.00599225,0.00826131,0.00565759,0.000152373,0.00015782,8.773e-05,-0.0015683,-0.00142066,-0.00126939,0.0070137,0.00779108,0,0,0,0.00565759,0.0070137,0.00779108,10.2189,10.2189,10.2189,-57.431,57.4321,0,43
135.675,1,-0,44.6387,-0.063139,-0.00474215,0.190555,0.000474408,0.00511237,-0.000649884,4.61563e-06,0.00158215,6.2803e-05,0.00446249,-0.00108124,0.000113736,-3.59962e-05,0.000146632,3.60126e-05,-2.32619e-05,0.00141466,0.00158541,0,0,0,0.00446249,0.00141466,0.00158541,135.675,135.675,135.675,97.9433,11.8208,0,44
76.1233,0,1,44.6387,0.137569,0.0737596,0.204302,-0.00240997,0.00249112,-0.00065245,-8.34777e-05,-0.00270301,-0.00213879,0.00183867,-0.00105692,-0.000705927,-0.000490772,-0.000399828,-0.00034052,-0.000271041,-0.00203612,-0.000529746,0,0,0,0.00183867,-0.00203612,-0.000529746,76.1233,76.1233,76.1233,128.091,-84.9203,0,45
130.197,0,-1,44.6387,0.255466,-0.0187607,0.157312,0.0037718,0.00274279,-3.39421e-05,0.000111532,-0.00243232,-0.0003522,0.00270885,0.000565274,-6.08221e-05,-7.62057e-06,0.000739286,-0.000102061,1.95496e-05,-0.00327042,-0.000550904,0,0,0,0.00270885,-0.00327042,-0.000550904,130.197,130.197,130.197,175.751,29.1549,0,46
85.5704,0,1,44.6387,0.192227,0.090835,0.116598,-0.00166839,0.00233038,0.00144809,0.00069397,0.00167243,6.11879e-05,0.00377846,-0.000675428,-0.000345701,-0.00019158,0.00144816,0.000712673,0.000355855,3.24683e-05,0.000964889,0,0,0,0.00377846,3.24683e-05,0.000964889,85.5704,85.5704,85.5704,152.079,-75.4733,0,47
11.2712,0,-1,44.6387,0.369794,0.0529556,0.057502,0.00561676,-0.00369583,-0.00169451,0.00592173,-0.00247706,0.00344138,-0.00539034,-0.000513389,0.00085733,-0.00143367,-6.35155e-06,-3.51452e-05,9.40484e-05,-0.00108619,0.00413707,0,0,0,-0.00539034,-0.00108619,0.00413707,11.2712,11.2712,11.2712,86.7953,148.08,0,48
25.4545,0,-1,44.6387,0.505541,-0.162367,0.0764756,0.00453991,-0.0039934,-2.86857e-05,0.00637791,-0.00226695,-0.00688325,-0.00402209,-4.78923e-05,-0.000131833,-0.000705868,2.23398e-05,-2.47521e-05,-0.000276794,0.00120395,-0.00729137,0,0,0,-0.00402209,0.00120395,-0.00729137,25.4545,25.4545,25.4545,-22.6228,133.897,0,49
52.6215,0,-1,44.6387,-0.11884,0.21617,-0.0169926,0.00743544,0.00681042,-0.00255455,-0.00542626,0.00686721,0.00825693,0.00425587,0.000488343,0.00047694,0.000478143,-0.00151114,-0.00145269,-0.00140955,0.0142167,0.00315874,0,0,0,0.00425587,0.0142167,0.00315874,52.6215,52.6215,52.6215,-107.99,106.73,0,50
